"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","ProudPapaPlays","2026-07-21T23:00:02.511Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","GalaDynasty","2026-07-21T23:00:16.062Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","BIGPURPLEANDGOLD","2026-07-21T23:15:48.680Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","FantasyISO","2026-07-21T23:15:49.121Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Son","2026-07-21T23:37:11.344Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","Sternhold","2026-07-21T23:37:11.628Z"
"031m2","1","7","7","PF","Giannis Antetokounmpo","MIA","Pilli","2026-07-21T23:37:13.206Z"
"05qtv","1","8","8","PG","Tyrese Haliburton","IND","JJyumyum","2026-07-22T00:40:18.261Z"
"05qug","1","9","9","SG","Anthony Edwards","MIN","Vemida","2026-07-22T04:59:17.505Z"
"03xmv","1","10","10","PF","Jayson Tatum","BOS","MFHFB","2026-07-22T06:19:18.872Z"
"05uiu","1","11","11","SF","Jalen Johnson","ATL","chuckball","2026-07-22T06:19:19.129Z"
"05uie","1","12","12","PF","Scottie Barnes","TOR","starks43","2026-07-22T10:52:18.387Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","starks43","2026-07-22T10:52:24.707Z"
"04ewe","2","2","14","SG","Donovan Mitchell","CLE","chuckball","2026-07-22T10:52:25.041Z"
"03ad3","2","3","15","C","Karl-Anthony Towns","NY","MFHFB","2026-07-22T11:11:06.804Z"
"05uiq","2","4","16","C","Alperen Sengun","HOU","Vemida","2026-07-22T14:54:03.468Z"
"001aw","2","5","17","PF","Kevin Durant","HOU","JJyumyum","2026-07-22T15:03:38.235Z"
"05uid","2","6","18","PF","Evan Mobley","CLE","Pilli","2026-07-22T15:57:00.153Z"
"01enh","2","7","19","PG","Stephen Curry","GS","Sternhold","2026-07-22T16:05:18.611Z"
"04qrk","2","8","20","PG","Trae Young","WAS","Son","2026-07-22T16:35:32.679Z"
"05uus","2","9","21","SG","Austin Reaves","LAL","FantasyISO","2026-07-22T16:37:40.980Z"
"042n4","2","10","22","PG","Jamal Murray","DEN","BIGPURPLEANDGOLD","2026-07-22T17:40:22.648Z"
"05qto","2","11","23","PG","LaMelo Ball","MIN","GalaDynasty","2026-07-22T18:30:52.160Z"
"06ca8","2","12","24","SF","Amen Thompson","HOU","ProudPapaPlays","2026-07-22T18:31:28.442Z"
"05uir","3","1","25","SF","Trey Murphy","NO","ProudPapaPlays","2026-07-22T18:42:40.902Z"
"05uig","3","2","26","PG","Josh Giddey","CHI","GalaDynasty","2026-07-22T18:55:19.481Z"
"03nwm","3","3","27","SG","Devin Booker","PHO","BIGPURPLEANDGOLD","2026-07-22T19:00:39.865Z"
"04azw","3","4","28","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-22T19:01:22.217Z"
"01eo6","3","5","29","PG","James Harden","CLE","Son","2026-07-22T19:20:50.840Z"
"06211","3","6","30","C","Chet Holmgren","OKC","Sternhold","2026-07-22T19:51:51.641Z"
"02nf1","3","7","31","PF","Anthony Davis","WAS","Pilli","2026-07-22T19:51:51.932Z"
"0621b","3","8","32","SG","Jalen Williams","OKC","JJyumyum","2026-07-22T19:55:25.548Z"
"04qsa","3","9","33","PG","Jalen Brunson","NY","Vemida","2026-07-22T20:03:07.978Z"
"05qtj","3","10","34","SF","Deni Avdija","POR","MFHFB","2026-07-22T20:08:08.339Z"
"027oz","3","11","35","SF","Kawhi Leonard","LAC","chuckball","2026-07-22T22:55:11.525Z"
"03lls","3","12","36","SF","Jaylen Brown","PHI","starks43","2026-07-23T01:15:11.268Z"
"0621c","4","1","37","C","Jalen Duren","DET","starks43","2026-07-23T01:15:27.556Z"
"042n7","4","2","38","C","Domantas Sabonis","SAC","chuckball","2026-07-23T04:31:17.305Z"
"04ewt","4","3","39","SG","Derrick White","BOS","MFHFB","2026-07-23T04:42:47.737Z"
"04ewf","4","4","40","C","Bam Adebayo","MIA","Vemida","2026-07-23T04:44:26.041Z"
"027oj","4","5","41","SG","Kyrie Irving","DAL","JJyumyum","2026-07-23T11:31:53.988Z"
"051ox","4","6","42","SG","Nickeil Alexander-Walker","ATL","Pilli","2026-07-23T11:35:38.322Z"
"0621l","4","7","43","C","Walker Kessler","LAL","Sternhold","2026-07-23T11:43:48.776Z"
"06mjw","4","8","44","PG","Stephon Castle","SA","Son","2026-07-23T14:28:45.787Z"
"06v5n","4","9","45","SF","Kon Knueppel","CHA","FantasyISO","2026-07-23T15:06:38.686Z"
"06mjz","4","10","46","C","Donovan Clingan","POR","BIGPURPLEANDGOLD","2026-07-23T15:23:35.312Z"
"04qrj","4","11","47","C","Jaren Jackson","UTA","GalaDynasty","2026-07-23T15:23:45.625Z"
"06217","4","12","48","SG","Dyson Daniels","ATL","ProudPapaPlays","2026-07-23T15:39:04.330Z"
"05qtt","5","1","49","C","Onyeka Okongwu","ATL","ProudPapaPlays","2026-07-23T16:13:55.347Z"
"06210","5","2","50","PF","Paolo Banchero","ORL","GalaDynasty","2026-07-23T16:29:23.872Z"
"06cca","5","3","51","SF","Brandon Miller","CHA","BIGPURPLEANDGOLD","2026-07-23T16:32:54.222Z"
"06mk3","5","4","52","SF","Matas Buzelis","CHI","FantasyISO","2026-07-23T16:34:22.531Z"
"06mk7","5","5","53","C","Kelel Ware","MIL","Son","2026-07-23T16:43:49.227Z"
"051ol","5","6","54","PG","Darius Garland","LAC","Sternhold","2026-07-23T23:02:50.071Z"
"05qt3","5","7","55","SG","Desmond Bane","ORL","Pilli","2026-07-24T04:43:56.549Z"
